"test.url_id","test.shares","birthwtPred"
3,1500,2763.01784475692
7,556,2763.01784475692
10,710,2763.01784475692
14,10000,5628.08823529412
16,1600,2763.01784475692
21,2800,2763.01784475692
22,598,2763.01784475692
23,445,2763.01784475692
27,1500,2763.01784475692
29,462,2763.01784475692
32,3900,2763.01784475692
36,343,2763.01784475692
40,2100,2763.01784475692
44,1200,2763.01784475692
46,575,2763.01784475692
47,507,2763.01784475692
63,645,2763.01784475692
69,1200,2763.01784475692
91,500,2763.01784475692
101,1200,2763.01784475692
103,663,2763.01784475692
106,1400,2763.01784475692
108,1900,5628.08823529412
110,1100,2763.01784475692
113,5700,2763.01784475692
114,7100,2763.01784475692
122,1600,2763.01784475692
132,1600,2763.01784475692
137,1600,2763.01784475692
144,474,2763.01784475692
145,2100,2763.01784475692
146,513,8064.97961783439
147,10400,2763.01784475692
162,1300,2763.01784475692
173,606,2763.01784475692
178,1700,2763.01784475692
179,761,5628.08823529412
185,427,5628.08823529412
187,3200,2763.01784475692
188,377,2763.01784475692
189,3400,2763.01784475692
201,7500,2763.01784475692
202,441,2763.01784475692
203,922,2763.01784475692
204,473,2763.01784475692
207,1300,5628.08823529412
213,933,2763.01784475692
218,308,2763.01784475692
221,1200,2763.01784475692
224,11800,2763.01784475692
226,794,2763.01784475692
227,1500,2763.01784475692
228,1300,2763.01784475692
230,1900,2763.01784475692
242,3000,2763.01784475692
245,979,2763.01784475692
254,1400,5628.08823529412
260,400,2763.01784475692
267,1900,2763.01784475692
278,1900,2763.01784475692
284,2200,2763.01784475692
293,4400,2763.01784475692
294,1400,2763.01784475692
295,1600,2763.01784475692
297,1100,2763.01784475692
300,1100,2763.01784475692
325,25200,2763.01784475692
330,1300,2763.01784475692
332,7900,2763.01784475692
338,3400,2763.01784475692
340,1300,2763.01784475692
341,2100,2763.01784475692
343,1400,2763.01784475692
349,14300,5628.08823529412
354,618,2763.01784475692
362,909,2763.01784475692
368,636,2763.01784475692
369,432,2763.01784475692
375,649,2763.01784475692
401,727,2763.01784475692
405,1300,2763.01784475692
416,2200,2763.01784475692
418,440,2763.01784475692
420,2800,5628.08823529412
426,718,2763.01784475692
427,1400,2763.01784475692
430,2400,2763.01784475692
438,5000,2763.01784475692
441,442,2763.01784475692
451,1600,2763.01784475692
455,593,2763.01784475692
459,3800,5628.08823529412
461,787,2763.01784475692
466,368,5628.08823529412
472,2300,2763.01784475692
475,2400,2763.01784475692
481,1800,2763.01784475692
486,4800,2763.01784475692
487,685,2763.01784475692
488,1500,2763.01784475692
492,1200,2763.01784475692
493,1700,2763.01784475692
507,1300,2763.01784475692
510,1200,2763.01784475692
511,1900,2763.01784475692
513,615,2763.01784475692
522,416,2763.01784475692
523,900,2763.01784475692
529,3400,2763.01784475692
534,2100,2763.01784475692
539,1400,2763.01784475692
540,2100,5628.08823529412
547,782,2763.01784475692
551,2200,2763.01784475692
560,712,2763.01784475692
565,51900,2763.01784475692
566,935,2763.01784475692
577,938,2763.01784475692
591,2400,2763.01784475692
595,3500,2763.01784475692
600,833,2763.01784475692
610,1900,2763.01784475692
616,1400,2763.01784475692
617,4200,2763.01784475692
624,1700,2763.01784475692
625,801,2763.01784475692
628,756,2763.01784475692
636,9100,5628.08823529412
641,2200,2763.01784475692
650,794,2763.01784475692
656,1100,2763.01784475692
657,2200,2763.01784475692
659,1900,2763.01784475692
688,2800,5628.08823529412
689,1800,2763.01784475692
692,1100,2763.01784475692
694,1500,2763.01784475692
697,1900,2763.01784475692
706,1300,2763.01784475692
715,3800,2763.01784475692
724,9800,2763.01784475692
725,1700,2763.01784475692
734,767,2763.01784475692
741,1600,2763.01784475692
743,1700,2763.01784475692
745,2500,2763.01784475692
746,2500,2763.01784475692
752,423,2763.01784475692
753,1000,2763.01784475692
757,1000,2763.01784475692
766,1600,2763.01784475692
768,1600,2763.01784475692
772,1800,2763.01784475692
774,800,2763.01784475692
777,900,2763.01784475692
780,1600,2763.01784475692
784,950,2763.01784475692
792,1700,2763.01784475692
793,718,2763.01784475692
795,1800,2763.01784475692
798,1200,2763.01784475692
799,2000,2763.01784475692
802,987,2763.01784475692
803,6700,2763.01784475692
805,428,5628.08823529412
812,5300,2763.01784475692
819,560,2763.01784475692
822,866,2763.01784475692
826,2100,2763.01784475692
830,3000,2763.01784475692
839,635,2763.01784475692
843,1200,2763.01784475692
847,532,2763.01784475692
848,1400,2763.01784475692
850,510,5628.08823529412
851,342,2763.01784475692
853,2700,2763.01784475692
860,1100,2763.01784475692
868,1800,2763.01784475692
869,5600,2763.01784475692
872,689,2763.01784475692
874,3700,2763.01784475692
886,3200,2763.01784475692
888,2500,2763.01784475692
896,2000,2763.01784475692
900,790,2763.01784475692
902,548,2763.01784475692
911,2400,2763.01784475692
918,1700,2763.01784475692
920,2500,2763.01784475692
924,1500,2763.01784475692
946,1500,2763.01784475692
949,1500,2763.01784475692
950,1100,2763.01784475692
952,730,2763.01784475692
958,556,2763.01784475692
959,730,2763.01784475692
968,1300,2763.01784475692
971,876,2763.01784475692
973,1100,2763.01784475692
975,6000,2763.01784475692
980,4400,2763.01784475692
986,1000,2763.01784475692
990,949,2763.01784475692
992,2100,2763.01784475692
993,1500,2763.01784475692
1001,431,2763.01784475692
1002,3600,2763.01784475692
1006,668,2763.01784475692
1009,471,2763.01784475692
1014,998,2763.01784475692
1016,1000,2763.01784475692
1017,2700,2763.01784475692
1020,1200,2763.01784475692
1021,1700,2763.01784475692
1022,1300,2763.01784475692
1023,482,2763.01784475692
1029,2000,2763.01784475692
1034,1400,2763.01784475692
1038,1800,2763.01784475692
1040,1700,2763.01784475692
1042,1200,2763.01784475692
1048,1500,5628.08823529412
1050,9700,2763.01784475692
1051,3800,2763.01784475692
1052,532,2763.01784475692
1055,942,2763.01784475692
1068,3500,2763.01784475692
1069,2600,5628.08823529412
1072,1600,2763.01784475692
1076,921,2763.01784475692
1077,1800,2763.01784475692
1083,1100,2763.01784475692
1087,931,2763.01784475692
1105,521,5628.08823529412
1107,1600,2763.01784475692
1118,9800,2763.01784475692
1124,2200,2763.01784475692
1125,30000,5628.08823529412
1127,5600,2763.01784475692
1129,3900,2763.01784475692
1131,2700,2763.01784475692
1132,2800,2763.01784475692
1135,1400,2763.01784475692
1144,1400,2763.01784475692
1153,4600,2763.01784475692
1167,8500,5628.08823529412
1169,1200,2763.01784475692
1173,414,2763.01784475692
1175,1200,2763.01784475692
1176,1000,2763.01784475692
1180,2700,2763.01784475692
1181,2000,2763.01784475692
1188,4300,2763.01784475692
1191,357,2763.01784475692
1196,2000,2763.01784475692
1204,1300,2763.01784475692
1213,2400,2763.01784475692
1214,688,2763.01784475692
1217,2000,2763.01784475692
1220,3100,2763.01784475692
1222,1200,2763.01784475692
1223,8700,2763.01784475692
1226,3000,2763.01784475692
1230,2400,2763.01784475692
1233,706,2763.01784475692
1234,469,2763.01784475692
1235,1900,2763.01784475692
1236,673,2763.01784475692
1250,969,2763.01784475692
1261,11400,2763.01784475692
1262,4400,2763.01784475692
1267,825,2763.01784475692
1270,5000,5628.08823529412
1273,6300,2763.01784475692
1279,3100,2763.01784475692
1280,1500,2763.01784475692
1283,3000,2763.01784475692
1288,969,2763.01784475692
1292,990,2763.01784475692
1294,2200,2763.01784475692
1299,1000,2763.01784475692
1306,2800,2763.01784475692
1308,1300,2763.01784475692
1316,1100,2763.01784475692
1317,1600,2763.01784475692
1319,531,2763.01784475692
1323,1200,2763.01784475692
1324,3400,2763.01784475692
1325,649,2763.01784475692
1326,3600,2763.01784475692
1330,1400,2763.01784475692
1333,1500,2763.01784475692
1334,436,2763.01784475692
1336,3000,2763.01784475692
1337,1800,2763.01784475692
1338,10300,2763.01784475692
1341,839,2763.01784475692
1345,3400,2763.01784475692
1346,1100,2763.01784475692
1348,1600,2763.01784475692
1357,1600,2763.01784475692
1358,2700,2763.01784475692
1364,2400,2763.01784475692
1367,1300,2763.01784475692
1368,373,2763.01784475692
1380,1300,2763.01784475692
1381,4300,2763.01784475692
1382,1500,2763.01784475692
1385,2000,2763.01784475692
1387,2300,5628.08823529412
1393,2500,2763.01784475692
1407,2300,2763.01784475692
1415,1800,2763.01784475692
1416,1500,2763.01784475692
1417,1800,2763.01784475692
1422,998,2763.01784475692
1428,3700,5628.08823529412
1432,1000,2763.01784475692
1433,2800,2763.01784475692
1434,849,5628.08823529412
1443,422,2763.01784475692
1449,1100,2763.01784475692
1450,1800,2763.01784475692
1456,1700,2763.01784475692
1459,1100,2763.01784475692
1462,3100,5628.08823529412
1464,2000,2763.01784475692
1467,2500,2763.01784475692
1468,1200,2763.01784475692
1473,488,2763.01784475692
1477,16500,2763.01784475692
1481,657,2763.01784475692
1482,594,2763.01784475692
1485,1100,2763.01784475692
1491,2100,2763.01784475692
1492,728,2763.01784475692
1493,828,2763.01784475692
1496,1600,2763.01784475692
1505,606,2763.01784475692
1518,460,2763.01784475692
1530,4400,2763.01784475692
1531,1700,2763.01784475692
1537,546,2763.01784475692
1539,2400,2763.01784475692
1540,1500,2763.01784475692
1543,805,2763.01784475692
1549,2500,2763.01784475692
1554,3300,5628.08823529412
1556,3100,2763.01784475692
1571,1300,2763.01784475692
1582,1500,2763.01784475692
1584,536,2763.01784475692
1587,4500,2763.01784475692
1594,1500,2763.01784475692
1601,4000,2763.01784475692
1603,2100,2763.01784475692
1611,1900,2763.01784475692
1623,4200,2763.01784475692
1629,3300,2763.01784475692
1630,1700,2763.01784475692
1631,3400,2763.01784475692
1639,933,2763.01784475692
1649,550,2763.01784475692
1658,527,2763.01784475692
1666,3900,2763.01784475692
1669,1500,2763.01784475692
1670,1300,2763.01784475692
1672,6000,2763.01784475692
1673,2600,2763.01784475692
1682,544,2763.01784475692
1688,527,2763.01784475692
1696,401,2763.01784475692
1703,583,2763.01784475692
1707,2000,2763.01784475692
1713,4300,2763.01784475692
1716,1100,2763.01784475692
1723,2500,2763.01784475692
1728,502,2763.01784475692
1732,1700,2763.01784475692
1734,889,2763.01784475692
1736,1600,2763.01784475692
1738,529,2763.01784475692
1745,1200,2763.01784475692
1764,712,2763.01784475692
1770,1700,2763.01784475692
1775,1700,5628.08823529412
1779,2400,2763.01784475692
1783,1100,2763.01784475692
1785,2300,2763.01784475692
1786,2800,5628.08823529412
1788,1600,2763.01784475692
1794,1000,2763.01784475692
1804,2100,2763.01784475692
1805,759,2763.01784475692
1812,4700,2763.01784475692
1813,742,2763.01784475692
1814,7700,2763.01784475692
1816,4500,2763.01784475692
1832,5300,2763.01784475692
1833,710,2763.01784475692
1837,1200,2763.01784475692
1840,4800,2763.01784475692
1844,1600,2763.01784475692
1847,1000,2763.01784475692
1852,574,2763.01784475692
1854,1300,2763.01784475692
1857,544,2763.01784475692
1858,1400,2763.01784475692
1865,1400,2763.01784475692
1866,632,2763.01784475692
1867,886,2763.01784475692
1870,790,2763.01784475692
1871,3200,2763.01784475692
1891,1500,2763.01784475692
1894,1100,2763.01784475692
1895,3500,2763.01784475692
1909,2300,2763.01784475692
1910,1500,2763.01784475692
1920,4000,2763.01784475692
1921,1500,2763.01784475692
1922,1300,2763.01784475692
1925,2600,2763.01784475692
1927,1100,2763.01784475692
1934,3200,2763.01784475692
1936,13600,2763.01784475692
1942,3500,2763.01784475692
1946,1900,2763.01784475692
1952,533,2763.01784475692
1957,3200,2763.01784475692
1976,898,2763.01784475692
1990,1700,2763.01784475692
1993,3700,2763.01784475692
1996,3000,2763.01784475692
2002,2800,2763.01784475692
2011,1200,2763.01784475692
2016,1200,2763.01784475692
2018,3700,2763.01784475692
2021,2100,2763.01784475692
2026,6400,2763.01784475692
2030,1700,2763.01784475692
2033,12800,2763.01784475692
2042,1400,2763.01784475692
2057,6100,2763.01784475692
2063,2000,2763.01784475692
2066,13500,2763.01784475692
2067,572,5628.08823529412
2071,726,2763.01784475692
2072,1200,2763.01784475692
2075,768,2763.01784475692
2079,3300,5628.08823529412
2081,1500,2763.01784475692
2083,1800,2763.01784475692
2084,589,2763.01784475692
2088,700,2763.01784475692
2093,1000,2763.01784475692
2099,914,2763.01784475692
2101,1700,2763.01784475692
2102,949,2763.01784475692
2106,1500,5628.08823529412
2111,412,2763.01784475692
2114,843,2763.01784475692
2129,1100,2763.01784475692
2140,2200,2763.01784475692
2141,822,2763.01784475692
2146,816,2763.01784475692
2148,11400,2763.01784475692
2151,1300,2763.01784475692
2152,869,2763.01784475692
2157,1200,2763.01784475692
2163,3300,5628.08823529412
2165,3000,2763.01784475692
2173,1400,2763.01784475692
2181,539,2763.01784475692
2187,1600,2763.01784475692
2190,2000,2763.01784475692
2193,6100,5628.08823529412
2195,2200,2763.01784475692
2198,729,2763.01784475692
2199,564,2763.01784475692
2203,1700,2763.01784475692
2204,923,2763.01784475692
2209,889,2763.01784475692
2210,2200,2763.01784475692
2222,3200,2763.01784475692
2228,1100,2763.01784475692
2230,836,2763.01784475692
2233,1100,5628.08823529412
2238,1100,2763.01784475692
2239,4500,2763.01784475692
2249,2500,2763.01784475692
2253,639,2763.01784475692
2254,3400,5628.08823529412
2259,1800,2763.01784475692
2262,639,2763.01784475692
2279,520,2763.01784475692
2296,354,2763.01784475692
2298,1100,2763.01784475692
2301,4700,2763.01784475692
2305,4400,2763.01784475692
2309,6500,2763.01784475692
2311,723,5628.08823529412
2315,1600,2763.01784475692
2316,706,2763.01784475692
2319,454,2763.01784475692
2324,1900,2763.01784475692
2326,472,2763.01784475692
2328,4100,2763.01784475692
2336,1400,2763.01784475692
2337,3600,2763.01784475692
2341,638,2763.01784475692
2346,11300,2763.01784475692
2349,623,2763.01784475692
2350,16700,5628.08823529412
2352,11100,5628.08823529412
2354,7300,2763.01784475692
