df_test.url_id,birthwtPred,predicted
4,2723.110419,1200
11,2723.110419,2200
15,2723.110419,761
20,2723.110419,17100
26,2723.110419,783
31,2723.110419,3200
34,2723.110419,573
37,2723.110419,7700
39,2723.110419,504
42,2723.110419,401
48,2723.110419,1200
50,2723.110419,1200
52,2723.110419,382
54,2723.110419,4600
55,2723.110419,2400
59,2723.110419,819
70,2723.110419,732
71,2723.110419,1200
72,2723.110419,2800
74,2723.110419,690
75,2723.110419,1300
77,2723.110419,631
79,2723.110419,851
82,2723.110419,4600
86,2723.110419,1500
93,2723.110419,1100
95,2723.110419,1400
98,2723.110419,695
99,2723.110419,341
102,2723.110419,450
107,2723.110419,1000
111,2723.110419,1500
115,2723.110419,1200
118,2723.110419,3800
121,2723.110419,1800
124,2723.110419,5600
125,2723.110419,1500
126,2723.110419,9200
128,2723.110419,6000
136,2723.110419,2800
138,5677.88078,2000
143,2723.110419,2500
149,2723.110419,5600
151,2723.110419,1000
156,2723.110419,350
161,2723.110419,648
165,2723.110419,1700
167,2723.110419,2700
169,2723.110419,450
174,2723.110419,5000
181,2723.110419,904
182,2723.110419,1200
184,2723.110419,1200
191,2723.110419,979
192,2723.110419,737
193,2723.110419,3800
194,2723.110419,396
195,2723.110419,1700
197,2723.110419,2900
198,2723.110419,2500
199,2723.110419,1400
200,2723.110419,484
205,2723.110419,3200
209,2723.110419,5600
240,2723.110419,775
241,2723.110419,569
248,2723.110419,835
252,2723.110419,1000
256,2723.110419,1200
258,2723.110419,1400
259,2723.110419,1000
261,2723.110419,1700
262,2723.110419,3200
264,2723.110419,4400
270,2723.110419,1800
275,2723.110419,924
280,2723.110419,2900
281,2723.110419,1600
286,2723.110419,1000
290,2723.110419,1500
296,2723.110419,2100
298,2723.110419,2100
299,2723.110419,840
301,2723.110419,1600
303,2723.110419,2200
306,2723.110419,1000
307,2723.110419,658
309,2723.110419,1500
311,2723.110419,5200
312,2723.110419,5300
313,2723.110419,1600
316,2723.110419,2300
321,2723.110419,2100
331,2723.110419,3800
336,2723.110419,1900
342,2723.110419,12100
346,5677.88078,1300
347,2723.110419,1600
350,2723.110419,33100
355,2723.110419,2300
357,2723.110419,630
361,2723.110419,1900
364,2723.110419,2700
371,2723.110419,621
373,2723.110419,1600
374,2723.110419,1700
380,2723.110419,1800
383,2723.110419,992
384,2723.110419,950
396,2723.110419,4900
398,2723.110419,2700
399,2723.110419,1100
403,2723.110419,498
406,2723.110419,1400
409,2723.110419,645
413,2723.110419,5200
414,2723.110419,756
415,2723.110419,498
417,2723.110419,1300
429,2723.110419,544
433,2723.110419,2300
439,2723.110419,1200
444,2723.110419,2200
445,2723.110419,1900
447,2723.110419,730
450,2723.110419,2100
454,2723.110419,1900
457,2723.110419,5400
458,2723.110419,1100
463,5677.88078,5500
465,2723.110419,463
471,2723.110419,17100
477,2723.110419,568
478,2723.110419,4200
482,2723.110419,2000
483,2723.110419,768
489,2723.110419,6300
495,2723.110419,824
496,2723.110419,5100
497,2723.110419,2500
498,2723.110419,2900
501,2723.110419,3200
512,2723.110419,2600
517,2723.110419,2200
519,2723.110419,1400
531,2723.110419,2500
535,2723.110419,1200
536,2723.110419,6400
537,2723.110419,17300
541,2723.110419,1900
543,2723.110419,2900
549,2723.110419,1200
552,2723.110419,4100
553,2723.110419,1900
554,2723.110419,9100
559,2723.110419,638
562,2723.110419,2200
570,2723.110419,864
572,5677.88078,1200
575,2723.110419,1200
582,2723.110419,2300
583,2723.110419,1100
588,2723.110419,870
589,2723.110419,835
593,2723.110419,1300
594,2723.110419,793
602,2723.110419,2900
605,2723.110419,1600
607,2723.110419,998
608,2723.110419,3300
613,2723.110419,5100
619,2723.110419,1200
621,2723.110419,5000
622,2723.110419,2100
626,2723.110419,4200
629,2723.110419,592
630,2723.110419,2600
634,2723.110419,2300
635,2723.110419,1700
640,2723.110419,671
647,2723.110419,1600
662,2723.110419,5700
674,2723.110419,721
675,2723.110419,2700
678,2723.110419,2200
681,2723.110419,2100
683,2723.110419,1300
693,2723.110419,1500
699,2723.110419,1200
702,2723.110419,1200
708,2723.110419,1900
712,2723.110419,3200
713,2723.110419,3100
714,2723.110419,2400
717,2723.110419,3500
718,2723.110419,2800
719,2723.110419,7800
721,2723.110419,2000
729,2723.110419,3500
736,2723.110419,1300
737,2723.110419,2800
738,2723.110419,2000
744,2723.110419,827
747,2723.110419,764
748,2723.110419,1100
750,2723.110419,2900
755,2723.110419,2200
759,2723.110419,863
770,2723.110419,1300
776,2723.110419,1100
778,2723.110419,1100
787,2723.110419,872
789,2723.110419,657
790,2723.110419,1100
791,2723.110419,2800
810,2723.110419,936
815,2723.110419,925
816,2723.110419,11900
823,2723.110419,1200
824,2723.110419,6000
825,2723.110419,1300
828,2723.110419,583
829,2723.110419,1200
833,2723.110419,1200
834,2723.110419,751
840,2723.110419,589
841,2723.110419,1100
842,2723.110419,473
845,2723.110419,1500
849,2723.110419,1100
854,2723.110419,1900
856,2723.110419,503
859,2723.110419,522
861,2723.110419,1500
862,2723.110419,2000
864,2723.110419,5500
865,2723.110419,1200
867,2723.110419,823
871,2723.110419,1900
875,2723.110419,1200
877,2723.110419,300
880,2723.110419,1500
882,2723.110419,1000
885,2723.110419,1000
894,2723.110419,2500
897,2723.110419,864
899,2723.110419,910
903,2723.110419,1400
907,2723.110419,909
909,2723.110419,2100
913,2723.110419,2100
915,2723.110419,2600
925,2723.110419,1200
928,2723.110419,1200
930,5677.88078,1000
931,2723.110419,8200
934,2723.110419,1800
940,2723.110419,799
941,2723.110419,445
942,2723.110419,837
943,2723.110419,978
947,2723.110419,929
948,2723.110419,1200
956,2723.110419,740
961,2723.110419,518
965,2723.110419,1900
966,2723.110419,886
969,2723.110419,3900
970,2723.110419,39200
976,2723.110419,1800
977,2723.110419,555
979,2723.110419,447
983,2723.110419,1900
984,2723.110419,902
985,2723.110419,1100
988,2723.110419,9500
989,2723.110419,1300
995,2723.110419,4000
996,2723.110419,785
1000,2723.110419,3800
1008,2723.110419,3400
1015,2723.110419,400
1018,2723.110419,2200
1019,2723.110419,3300
1035,2723.110419,2500
1044,2723.110419,606
1049,2723.110419,763
1054,2723.110419,3200
1056,2723.110419,1400
1058,2723.110419,4800
1061,2723.110419,3400
1064,2723.110419,4300
1065,2723.110419,1500
1067,2723.110419,614
1071,2723.110419,3100
1073,2723.110419,928
1074,5677.88078,4100
1078,2723.110419,2100
1086,2723.110419,1200
1090,2723.110419,475
1095,2723.110419,1200
1096,2723.110419,3200
1101,2723.110419,535
1102,2723.110419,1300
1106,2723.110419,1300
1110,2723.110419,8000
1113,2723.110419,1100
1114,2723.110419,1600
1115,2723.110419,1300
1116,2723.110419,10800
1120,2723.110419,2900
1123,2723.110419,4900
1136,2723.110419,2400
1138,2723.110419,5900
1142,2723.110419,2400
1143,2723.110419,3000
1145,2723.110419,8200
1146,2723.110419,2200
1149,2723.110419,1500
1152,2723.110419,5900
1154,2723.110419,1300
1155,2723.110419,6100
1156,2723.110419,1400
1166,2723.110419,1200
1170,2723.110419,1600
1174,2723.110419,2500
1177,2723.110419,1800
1179,2723.110419,8100
1183,2723.110419,565
1184,2723.110419,2400
1186,2723.110419,1100
1187,2723.110419,1200
1190,2723.110419,3000
1192,2723.110419,6700
1200,2723.110419,1700
1207,2723.110419,7100
1208,2723.110419,294
1209,2723.110419,349
1211,2723.110419,507
1212,2723.110419,542
1219,2723.110419,907
1225,2723.110419,559
1232,2723.110419,953
1245,2723.110419,1200
1246,2723.110419,4300
1252,2723.110419,1000
1253,2723.110419,1600
1255,2723.110419,510
1257,2723.110419,2700
1260,2723.110419,3100
1265,2723.110419,1400
1266,2723.110419,2100
1269,2723.110419,3000
1275,2723.110419,532
1278,2723.110419,1300
1284,2723.110419,792
1285,2723.110419,467
1286,5677.88078,1900
1289,2723.110419,686
1290,2723.110419,3000
1293,2723.110419,717
1296,2723.110419,779
1298,2723.110419,1500
1304,2723.110419,1600
1310,2723.110419,1500
1320,2723.110419,6300
1328,2723.110419,2200
1340,2723.110419,659
1342,2723.110419,2100
1347,2723.110419,2400
1353,2723.110419,1200
1361,2723.110419,707
1362,2723.110419,1200
1365,2723.110419,1200
1374,2723.110419,912
1376,2723.110419,1000
1386,2723.110419,2400
1388,2723.110419,758
1392,2723.110419,69100
1398,2723.110419,511
1401,2723.110419,1500
1404,2723.110419,1800
1405,2723.110419,2400
1406,2723.110419,4500
1413,2723.110419,16800
1423,2723.110419,386
1427,2723.110419,440
1429,2723.110419,857
1435,2723.110419,1100
