df_test.url_id,predicted,
4,-1008.737869,1200
11,640.0565523,2200
15,349.2271606,761
20,-666.2824552,17100
26,-473.2030074,783
31,-27.19342167,3200
34,968.2715766,573
37,230.5227573,7700
39,-657.8793388,504
42,-710.636132,401
48,374.8515897,1200
50,-137.8616776,1200
52,-866.1659428,382
54,-1082.844447,4600
55,-547.2514055,2400
59,-650.8486365,819
70,-1236.031068,732
71,498.5252169,1200
72,725.3937057,2800
74,418.8730611,690
75,-353.7251945,1300
77,-1301.78539,631
79,79.93915773,851
82,2074.835482,4600
86,1091.027794,1500
93,2051.437455,1100
95,2762.939483,1400
98,2306.528469,695
99,1980.922864,341
102,1447.737437,450
107,-57.26347194,1000
111,517.4819844,1500
115,1218.757638,1200
118,2892.792064,3800
121,2158.738923,1800
124,432.4330707,5600
125,588.9371124,1500
126,244.1323709,9200
128,2538.500659,6000
136,1582.353067,2800
138,8538.889228,2000
143,862.5051995,2500
149,531.7374204,5600
151,114.4095238,1000
156,667.0428206,350
161,1251.305571,648
165,1366.573202,1700
167,-248.7225643,2700
169,-136.7968953,450
174,164.5167707,5000
181,-1252.53746,904
182,3748.357836,1200
184,3057.240858,1200
191,4764.899217,979
192,998.17004,737
193,2454.158547,3800
194,895.6691424,396
195,2825.209972,1700
197,3035.106118,2900
198,1642.342915,2500
199,1490.131975,1400
200,4322.593346,484
205,3855.915128,3200
209,-737.2612902,5600
240,2255.44648,775
241,2009.164234,569
248,1859.142325,835
252,2565.254822,1000
256,1815.546897,1200
258,2517.151875,1400
259,1815.392373,1000
261,1910.220236,1700
262,5726.138313,3200
264,1870.71272,4400
270,2715.955695,1800
275,1203.611566,924
280,1282.409873,2900
281,543.8729997,1600
286,3868.220163,1000
290,1108.942831,1500
296,1760.468198,2100
298,2858.56584,2100
299,3301.134571,840
301,535.2929146,1600
303,749.6405395,2200
306,2221.328101,1000
307,2203.064997,658
309,2211.200056,1500
311,3620.905788,5200
312,2355.989064,5300
313,3466.999777,1600
316,3661.526147,2300
321,3846.844629,2100
331,3136.680455,3800
336,1649.045205,1900
342,1532.984932,12100
346,6051.694048,1300
347,1554.83516,1600
350,3698.166944,33100
355,4022.324739,2300
357,4788.198197,630
361,3055.039147,1900
364,2397.35508,2700
371,2691.997217,621
373,1410.417301,1600
374,2486.070647,1700
380,2168.425622,1800
383,1925.726408,992
384,2451.040466,950
396,4149.325151,4900
398,3988.14848,2700
399,3634.892094,1100
403,2347.183418,498
406,-60.62675322,1400
409,4588.427007,645
413,2248.569223,5200
414,3284.4699,756
415,2705.903816,498
417,2744.392649,1300
429,4015.524552,544
433,2492.728328,2300
439,3091.681851,1200
444,3493.756678,2200
445,2841.748999,1900
447,3253.505597,730
450,1245.962833,2100
454,1702.309591,1900
457,3829.324096,5400
458,3760.550738,1100
463,3520.060618,5500
465,2242.291258,463
471,2659.345944,17100
477,2688.578805,568
478,3690.649696,4200
482,1844.919171,2000
483,2334.365641,768
489,4025.041084,6300
495,2122.672776,824
496,2254.415537,5100
497,1732.929585,2500
498,4521.438542,2900
501,2622.842527,3200
512,2353.000705,2600
517,3137.438368,2200
519,2479.192333,1400
531,2227.435219,2500
535,2933.344957,1200
536,3227.935228,6400
537,4843.712518,17300
541,5777.694408,1900
543,2521.010251,2900
549,3131.44503,1200
552,2388.936864,4100
553,2567.925878,1900
554,5571.729618,9100
559,2439.052493,638
562,1463.662868,2200
570,2283.128457,864
572,6120.090689,1200
575,4722.972498,1200
582,1810.896544,2300
583,4544.390319,1100
588,2573.20271,870
589,3444.928451,835
593,1919.401277,1300
594,2531.144686,793
602,4210.458216,2900
605,4123.154219,1600
607,282.3329158,998
