df_test.url_id,predicted,
4,1220,1200
11,2220,2200
15,781,761
20,17120,17100
26,803,783
31,3220,3200
34,593,573
37,7720,7700
39,524,504
42,421,401
48,1220,1200
50,1220,1200
52,402,382
54,4620,4600
55,2420,2400
59,839,819
70,752,732
71,1220,1200
72,2820,2800
74,710,690
75,1320,1300
77,651,631
79,871,851
82,4620,4600
86,1520,1500
93,1120,1100
95,1420,1400
98,715,695
99,361,341
102,470,450
107,1020,1000
111,1520,1500
115,1220,1200
118,3820,3800
121,1820,1800
124,5620,5600
125,1520,1500
126,9220,9200
128,6020,6000
136,2820,2800
138,2020,2000
143,2520,2500
149,5620,5600
151,1020,1000
156,370,350
161,668,648
165,1720,1700
167,2720,2700
169,470,450
174,5020,5000
181,924,904
182,1220,1200
184,1220,1200
191,999,979
192,757,737
193,3820,3800
194,416,396
195,1720,1700
197,2920,2900
198,2520,2500
199,1420,1400
200,504,484
205,3220,3200
209,5620,5600
240,795,775
241,589,569
248,855,835
252,1020,1000
256,1220,1200
258,1420,1400
259,1020,1000
261,1720,1700
262,3220,3200
264,4420,4400
270,1820,1800
275,944,924
280,2920,2900
281,1620,1600
286,1020,1000
290,1520,1500
296,2120,2100
298,2120,2100
299,860,840
301,1620,1600
303,2220,2200
306,1020,1000
307,678,658
309,1520,1500
311,5220,5200
312,5320,5300
313,1620,1600
316,2320,2300
321,2120,2100
331,3820,3800
336,1920,1900
342,12120,12100
346,1320,1300
347,1620,1600
350,33120,33100
355,2320,2300
357,650,630
361,1920,1900
364,2720,2700
371,641,621
373,1620,1600
374,1720,1700
380,1820,1800
383,1012,992
384,970,950
396,4920,4900
398,2720,2700
399,1120,1100
403,518,498
406,1420,1400
409,665,645
413,5220,5200
414,776,756
415,518,498
417,1320,1300
429,564,544
433,2320,2300
439,1220,1200
444,2220,2200
445,1920,1900
447,750,730
450,2120,2100
454,1920,1900
457,5420,5400
458,1120,1100
463,5520,5500
465,483,463
471,17120,17100
477,588,568
478,4220,4200
482,2020,2000
483,788,768
489,6320,6300
495,844,824
496,5120,5100
497,2520,2500
498,2920,2900
501,3220,3200
512,2620,2600
517,2220,2200
519,1420,1400
531,2520,2500
535,1220,1200
536,6420,6400
537,17320,17300
541,1920,1900
543,2920,2900
549,1220,1200
552,4120,4100
553,1920,1900
554,9120,9100
559,658,638
562,2220,2200
570,884,864
572,1220,1200
575,1220,1200
582,2320,2300
583,1120,1100
588,890,870
589,855,835
593,1320,1300
594,813,793
602,2920,2900
605,1620,1600
607,1018,998
608,3320,3300
613,5120,5100
619,1220,1200
621,5020,5000
622,2120,2100
626,4220,4200
629,612,592
630,2620,2600
634,2320,2300
635,1720,1700
640,691,671
647,1620,1600
662,5720,5700
674,741,721
675,2720,2700
678,2220,2200
681,2120,2100
683,1320,1300
693,1520,1500
699,1220,1200
702,1220,1200
708,1920,1900
712,3220,3200
713,3120,3100
714,2420,2400
717,3520,3500
718,2820,2800
719,7820,7800
721,2020,2000
729,3520,3500
736,1320,1300
737,2820,2800
738,2020,2000
744,847,827
747,784,764
748,1120,1100
750,2920,2900
755,2220,2200
759,883,863
770,1320,1300
776,1120,1100
778,1120,1100
787,892,872
789,677,657
790,1120,1100
791,2820,2800
810,956,936
815,945,925
816,11920,11900
823,1220,1200
824,6020,6000
825,1320,1300
828,603,583
829,1220,1200
833,1220,1200
834,771,751
840,609,589
841,1120,1100
842,493,473
845,1520,1500
849,1120,1100
854,1920,1900
856,523,503
859,542,522
861,1520,1500
862,2020,2000
864,5520,5500
865,1220,1200
867,843,823
871,1920,1900
875,1220,1200
877,320,300
880,1520,1500
882,1020,1000
